Participant,Intelligibility,Findability,Clarity,Intuitiveness,Learnability
Scale Max, 5,5,5,5,5
0,4,5,5,4,4
1,4,4,4,4,5
2,5,4,4,5,5
3,4,4,4,3,4
4,5,5,5,4,4
5,4,2,2,2,2
6,5,5,4,5,5
7,5,4,4,4,5
8,5,5,5,3,4
9,4,4,5,5,4
10,5,5,5,3,4
11,2,2,2,2,2
12,4,4,4,4,4
13,5,5,4,5,4
14,4,4,2,3,3
15,5,4,3,2,4
16,4,4,4,4,4
17,4,4,4,4,4
18,4,4,4,4,4
19,3,3,2,1,3
20,5,5,4,5,5
21,2,2,1,3,3
22,3,3,4,3,4
23,3,2,3,4,3
24,3,4,4,4,4
25,5,5,5,5,5
26,1,1,1,1,1
27,5,5,3,4,5
28,4,4,4,4,5
29,5,5,5,5,5
30,5,5,3,4,5
31,4,4,2,4,4
32,4,4,4,5,4
33,1,1,1,1,1
34,4,5,5,4,4
35,5,5,5,4,5
36,5,5,4,5,5
37,4,4,4,4,4
38,5,4,5,4,5
39,5,4,5,5,5
40,5,3,3,5,3
41,5,5,5,5,5
42,5,5,5,4,4
43,2,2,2,2,2
44,4,4,4,5,5
45,4,4,4,5,3
46,4,4,4,5,5
47,5,5,5,5,5
48,5,5,5,5,5
49,4,5,4,4,4
50,5,4,4,2,5
51,5,5,5,5,5
52,4,4,2,3,4
53,4,3,4,4,4
54,4,4,4,5,4
55,2,4,5,2,2
56,4,4,4,4,4
57,4,4,4,2,4
58,3,2,2,3,3
59,4,4,3,3,3
60,4,3,4,2,2
61,4,5,4,4,5
62,5,4,4,4,3
